,tourn_id,team_id,qv1,qv2,qv3,qv4,qv5,qv6,qv7,qv8,qv9,qv10,qv11,qv12
0,4894,1799,1,1,0,0,1,1,0,0,1,1,0,1
0,4894,5384,1,1,1,0,1,1,1,1,1,1,0,1
0,4894,6474,1,1,0,0,0,1,0,1,1,1,0,0
0,4894,8355,1,1,0,1,1,0,0,1,1,0,0,0
0,4894,41818,0,1,0,0,0,1,0,0,1,0,0,0
0,4894,42100,1,1,0,0,0,1,1,1,1,1,0,1
0,4894,42558,1,1,0,0,1,1,0,1,1,0,0,1
0,4894,45560,1,1,1,1,1,1,0,1,1,0,0,1
0,4894,50905,1,1,0,1,1,1,0,1,1,0,0,1
0,4894,51471,1,1,0,0,1,0,0,1,1,0,0,0
0,4894,51710,0,1,0,1,0,1,1,0,0,0,0,1
0,4894,55270,0,1,0,0,0,1,0,0,1,0,0,1
0,4894,55674,1,1,0,0,0,1,0,0,1,0,0,0
0,4894,56089,1,1,0,0,0,0,0,1,0,1,1,0
0,4894,56258,0,1,0,1,0,1,0,0,0,0,0,0
0,4894,57003,0,1,0,0,0,1,0,0,1,0,0,0
0,4894,57306,0,1,0,0,0,0,1,0,1,0,0,0
0,4894,58594,0,1,0,0,1,0,0,1,1,0,0,0
0,4894,59004,0,1,0,0,0,0,0,0,1,0,0,0
0,4894,59730,1,1,1,0,0,1,0,0,1,0,0,1
0,4894,59777,1,1,0,0,0,1,0,1,1,0,0,1
0,4894,59782,0,1,0,0,0,0,0,1,0,0,0,0
0,4894,60287,0,1,1,1,0,1,0,1,1,0,0,1
0,4894,60352,1,1,0,0,0,1,0,0,1,0,0,1
0,4894,60975,0,1,0,0,0,0,0,0,1,0,0,0
0,4894,61055,1,1,1,0,0,0,0,0,1,0,0,0
0,4894,61056,0,1,0,0,0,0,0,0,1,0,0,0
0,4894,61789,1,1,0,0,0,1,0,0,1,1,0,0
0,4894,61896,1,1,0,0,0,1,0,0,1,0,0,0
0,4894,62096,0,1,0,0,0,1,0,0,0,0,0,0
0,4894,62097,1,1,0,0,1,1,0,1,1,0,0,1
0,4894,62116,0,1,0,0,1,1,0,0,1,0,0,1
0,4894,62190,0,1,0,0,0,0,0,0,0,0,0,0
0,4894,62441,0,1,0,0,0,0,0,0,0,0,0,0
0,4894,62471,0,1,0,0,1,0,0,0,0,0,0,0
0,4894,62953,0,1,0,0,0,0,0,0,1,0,0,0
0,4894,63357,1,1,0,0,0,0,0,0,1,0,0,0
0,4894,63503,1,1,0,0,1,1,0,0,1,0,0,1
0,4894,63745,0,0,0,0,0,0,0,0,0,0,0,0
0,4894,63746,0,0,0,0,0,0,0,0,0,0,0,0
0,4894,63871,0,1,0,0,1,1,0,1,1,0,0,0
