,type,team_id,current_name
0,unst,294,Absolut
1,tech,590,Святой листок
2,tech,791,Дилемма
3,unst,1733,Суббота 13
4,tech,2055,ForУМ
5,tech,2416,Ромашка
6,tech,2462,Мы
7,tech,2469,Puzzle
8,tech,3269,Всё дело в перце
9,tech,4728,Браво руля!
10,tech,4795,Большая Берта
11,creat,5127,Братья КарамазЛовы
12,tech,5141,НУИХ
13,tech,6451,Шесть без козыря
14,tech,6790,Тёмный лес
15,creat,7591,Берлин Мумбай
16,creat,8148,6 LITroff
17,tech,8328,Finntrolls
18,unst,8329,Песиголовцы
19,creat,27260,Герцоги мира
20,creat,27522,Жареные гвозди
21,creat,28587,Пахтакор
22,creat,37731,Любовь
23,unst,37762,Сам-Бука
24,stab,38035,Логичная логика
25,unst,38164,МГТУ - Фабрика мыслей
26,creat,38723,XXX
27,stab,38816,Whiplash
28,tech,39018,Вова и медведь
29,tech,39893,Billie Bob Top
30,tech,40030,Натори
31,tech,40247,Эти две и йети
32,creat,41492,Бедлам
33,creat,41816,Windows 95
34,tech,41878,Тревожные мысли
35,tech,42100,Резко континентальные
36,creat,42178,Неопровержимые улитки
37,stab,42419,Охота на сов
38,tech,42534,Поребрик
39,tech,42538,ВЗ7
40,creat,42722,Ум-до-дыр
41,creat,43274,Ad Hoc
42,creat,43456,Donkey Hot
43,creat,44079,Команда
44,tech,44107,Триумфальная лапка
45,creat,44651,Пушистики
46,tech,45174,София
47,tech,45373,Маскарад
48,tech,45455,Poker
49,creat,45473,Neotoma
50,creat,45517,Сергей Сатаник
51,tech,45541,Станция Курская
52,tech,46022,Пятница
53,creat,46750,Весёлые монахи
54,creat,47005,Бонобо
55,creat,47006,Авесто
56,unst,48052,МГТУ etc.
57,tech,48062,Уже да
58,unst,48913,Восточный Мордор
59,stab,48969,Нарек
60,tech,49146,28 тысяч белок
61,tech,49378,Детумесценция ЧГК
62,unst,50807,Орден иллюминаторов
63,tech,50821,Собакусъел
64,creat,50905,Крамбамбуля
65,stab,51198,69
66,tech,51253,Жмурки
67,creat,51554,Утро в запретном лесу
68,tech,51584,МГТУ - Зов сов
69,tech,51630,Белые воротнички
70,tech,51796,Заливная
71,creat,51995,Кто там
72,tech,51996,Немного математиков
73,unst,52041,Трудновыговариваемое название
74,tech,52055,Братья Блюз
75,creat,52912,КИТы
76,tech,53456,Социон
77,stab,53992,Ходим на тренировки
78,tech,54333,Интерстерлядь
79,creat,54884,Лама
80,tech,54889,Аннигиляция
81,tech,55189,MW
82,tech,55270,МГТУ - Легионеры
83,tech,55404,Запорожці і Лях
84,tech,55801,Не пензлик Магрiтта
85,tech,56013,Совята
86,tech,56116,Камо грядеши мы с Пятачком
87,tech,56125,Ареола
88,tech,56156,Маршрутка до Ётунхейма
89,unst,56459,American Whale
90,tech,56664,Арагаст
91,tech,56747,Скоро
92,unst,56760,РБ
93,tech,56867,18+
94,tech,57003,1991
95,creat,57184,Мемуардеры
96,unst,57214,Пик Балмера
97,tech,57404,Невыносимая легкость дискографии Ленца
98,creat,57471,ЕКГ
99,tech,57480,"Гуляй, рванина"
100,stab,57500,Кугутня с Пересыпи
101,unst,57898,Ну и ладно
102,tech,57910,Игры разума
103,tech,58071,"Ваше слово, товарищ Браузер!"
104,creat,58376,ЛяМур
105,tech,58733,Кочан или некочан
106,creat,59010,Сенат и граждане Нового Орлеана
107,creat,59159,Каток имени Теслы
108,creat,59247,Генерал Хрюкин
109,creat,59320,Сандали Даля
110,unst,59419,Кудрявчик и Вахривка
111,stab,59563,Ненаглядный пример
112,creat,59644,Вон те под телеком
113,unst,59767,Посох
114,tech,60039,Заговор лемуров
115,tech,60574,Пернатонога Кукумявка
116,creat,61024,Давайте попробуем
117,creat,61112,Lonely Buffalo
118,stab,61715,СКА
119,creat,61895,Аполлоны
120,stab,61966,Знатоки
121,tech,62085,Столик
122,creat,62116,Birlik
123,tech,62280,Зургаан
124,stab,62442,Курятник
125,creat,62653,Всадники Апокалипсиса
126,unst,62701,Орнитология
127,weak,62707,Пушечное мясо
128,stab,63357,Нур team
129,stab,63413,Шляпа!
130,stab,63764,Красный шарф
131,creat,64055,Айзобол
132,creat,64171,Небо выбрало нас
133,stab,64175,Пёс да лис
134,tech,64239,Anathema
135,creat,64473,Двое против ветра
136,stab,64488,Чёрный кожаный диван
137,tech,64522,Давай не будем
138,unst,64635,Игра на унижение
139,weak,64660,Совенята
140,tech,64700,Старость - не молодость
